COUNTY,lahunv1share,lahunv10share,lasnap1share,lasnap10share
31153,0.31678708395653565,,0.36388133904230296,0.36388133904230296
31155,0.2752779568266764,0.3219308323018486,0.4146469411372394,0.4146469411372394
31157,0.3159445207830056,0.42368926047169964,0.2994016903219759,0.2994016903219759
31159,0.5088047490602666,0.2937740085199497,0.525663196672823,0.525663196672823
31161,0.3979310464062559,0.2694306820149722,0.32205945941023184,0.32205945941023184
31163,0.3616125187811087,0.10083245107654949,0.6563525837613212,0.6563525837613212
31165,0.3713898745196839,0.5515240758509509,0.29199199323066233,0.29199199323066233
31167,0.3738752324668664,0.2894873406772185,0.5185054923487604,0.5185054923487604
31169,0.20790165874349373,0.06735817521528986,0.47593740681532887,0.47593740681532887
31171,0.8870521936178071,0.8040750517335238,0.669120483548264,0.669120483548264
31173,0.754075950685262,0.04964612599009287,0.7504770871657822,0.7504770871657822
31175,0.3256110790883853,0.2593760281404617,0.3636150206005867,0.3636150206005867
31177,0.29620532244193226,0.3463266495361342,0.34640398372174497,0.34640398372174497
31179,0.40258537997653604,0.31737243696656225,0.570321839239319,0.570321839239319
31181,0.6977799879465901,0.3867059673919012,0.736932600286926,0.736932600286926
31183,0.7954881186292575,0.4607857886276588,0.7976474225957245,0.7976474225957245
31185,0.4039565972283614,0.09330445928820585,0.4467287117928052,0.4467287117928052
32001,0.4053030303030303,0.03571428571428571,0.5087572977481234,0.5087572977481234
32003,0.28146698355002564,0.42822966507177035,0.31294547140290896,0.31294547140290896
32005,0.4943757356567042,0.3652173913043478,0.5294416306342835,0.5294416306342835
32007,0.5360281195079087,0.28738317757009346,0.4951830443159923,0.4951830443159923
32009,0.8275862068965517,0.7931034482758621,0.8529411764705882,0.8529411764705882
32011,0.7380952380952381,0.5238095238095238,0.7419354838709677,0.7419354838709677
32013,0.0747757757643097,0.07363270460105753,0.3402453278733942,0.3402453278733942
32017,0.8873239436619719,0.7887323943661971,0.6896551724137931,0.6896551724137931
32019,0.4521445899150226,0.11041482501726493,0.5414137760203632,0.5414137760203632
32021,1.27683615819209,0.12994350282485873,1.0761245674740485,1.0761245674740485
32023,0.9787234042553191,0.7978723404255319,0.8235294117647058,0.8235294117647058
32027,0.12213740458015265,0.08108108108108109,0.4307886146268828,0.4307886146268828
32029,0.6608407466350615,0.166870365843722,0.8954589739484003,0.8954589739484003
32031,0.332317116749395,0.45335581324681173,0.4928590526310481,0.4928590526310481
32033,0.3118279569892473,0.0,0.5725490196078431,0.5725490196078431
32510,0.22637402784887606,0.0,0.3215229307056937,0.3215229307056937
33001,0.3703596187879003,,0.5464378230835606,0.5464378230835606
33003,1.0073068645783567,0.0,0.9528337927871666,0.9528337927871666
33005,0.4980791608492881,0.10472614047492353,0.6675327852117937,0.6675327852117937
33007,0.5207271407931269,0.0594720367575517,0.5687536377198467,0.5687536377198467
33009,0.836951515137656,0.1604099485129435,0.8069849807111581,0.8069849807111581
33011,0.3375938596243595,0.2608695652173913,0.4200818485578774,0.4200818485578774
33013,0.4902017428733486,0.25300336856380795,0.5654276579161672,0.5654276579161672
33015,0.4366020380735293,,0.5606398401108551,0.5606398401108551
33017,0.41626243702098925,,0.5574425012037331,0.5574425012037331
33019,0.6480712859732156,0.17927617607673335,0.6714951942771262,0.6714951942771262
34001,0.42895393174558605,0.11463739661786798,0.4795616126634114,0.4795616126634114
34003,0.19867097790911256,,0.1413196050064236,0.1413196050064236
34005,0.3820204922670019,0.11864406779661019,0.43370014172709953,0.43370014172709953
34007,0.25013438820568107,,0.26091068486250524,0.26091068486250524
34009,0.4183302727624435,0.020430334895132563,0.5720483161135388,0.5720483161135388
34011,0.45978031190890306,0.31452095428884436,0.5089664700790155,0.5089664700790155
34013,0.17178615168910913,,0.2426282315353415,0.2426282315353415
34015,0.45146239966338536,,0.4539165640417371,0.4539165640417371
34017,0.03594922555835365,,0.03521359928882175,0.03521359928882175
34019,0.7592232942862349,,0.7611007097398875,0.7611007097398875
34021,0.33646367309060754,,0.31476208084849033,0.31476208084849033
34023,0.37077510436515665,,0.3402222259906956,0.3402222259906956
34025,0.4588931488828757,,0.5073724556347596,0.5073724556347596
34027,0.4003747141291866,,0.3865817727325351,0.3865817727325351
34029,0.5493326844242865,0.19444444444444448,0.5465487872525879,0.5465487872525879
34031,0.33447705850112297,,0.4126489166883835,0.4126489166883835
34033,0.6159703086344595,0.0,0.6225155431900292,0.6225155431900292
34035,0.4672419436286306,,0.32960688445232994,0.32960688445232994
34037,0.7187244660083727,,0.775889774362493,0.775889774362493
34039,0.17300394229045407,,0.17115154724119713,0.17115154724119713
34041,0.6320686440613517,,0.636531302758139,0.636531302758139
35001,0.27028405152481727,0.2665936394072309,0.35540590517040616,0.35540590517040616
35003,1.0952380952380951,0.8333333333333334,1.0604395604395604,1.0604395604395604
35005,0.3530292797934031,0.5080247986940203,0.5017188035966234,0.5017188035966234
35006,0.7036464947027274,0.6093282689316903,0.6716855526006933,0.6716855526006933
35007,0.9253842873104998,0.12663299342866638,0.7951798690778379,0.7951798690778379
35009,0.4228628170887707,0.5608686879189909,0.4579826801193509,0.4579826801193509
35011,0.768248546703106,0.33142354831987625,0.7375140197215598,0.7375140197215598
35013,0.4841328413284133,0.15929203539823006,0.5129665482984939,0.5129665482984939
35015,0.6808800381481545,0.23711116493018045,0.5877628870458304,0.5877628870458304
35017,0.6390041493775933,0.35537190082644626,0.6326963906581744,0.6326963906581744
35019,0.1,0.05833333333333334,0.6255506607929515,0.6255506607929515
35021,0.6523633705706721,0.549116877118362,0.6304812001244935,0.6304812001244935
35023,0.3113207547169811,0.9047619047619048,0.2540415704387991,0.2540415704387991
35025,0.2560692119357767,0.12162162162162161,0.332758665652563,0.332758665652563
35027,0.8904114005935527,0.28455666497196364,0.8465239025976786,0.8465239025976786
