ZIP,Total Offenses Rate,Crimes Against Persons Rate,Crimes Against Property Rate,Crimes Against Society Rate
36474,0.006392593409015761,0.0020390168632205444,0.0021492339909621955,0.002204342554833021
36257,0.11554317548746518,0.055487465181058494,0.0418941504178273,0.018161559888579388
36260,0.11554317548746518,0.055487465181058494,0.0418941504178273,0.018161559888579388
36250,0.11554317548746518,0.055487465181058494,0.0418941504178273,0.018161559888579388
36279,0.11554317548746518,0.055487465181058494,0.0418941504178273,0.018161559888579388
36274,0.036846033792495084,0.015742688471194952,0.01771052453009432,0.0033928207912058087
36850,0.24428527887839074,0.09844559585492228,0.10857970131057604,0.03725998171289241
36879,0.019581363943281565,0.00484930329629857,0.007181879565404211,0.007550181081578786
36852,0.24428527887839074,0.09844559585492228,0.10857970131057604,0.03725998171289241
35984,0.048694779116465865,0.013386880856760375,0.019410977242302542,0.015896921017402945
35983,0.048694779116465865,0.013386880856760375,0.019410977242302542,0.015896921017402945
36790,0.30905780609922623,0.10559854346836596,0.13313609467455623,0.07032316795630406
36910,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36912,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36922,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36916,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36921,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36908,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36915,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36913,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36919,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36558,0.02242069029677179,0.008465903805005117,0.011349893013303563,0.002604893478463113
36436,0.03380864765409384,0.01349279362158847,0.012572830420116528,0.0077430236123888375
36751,0.013718765311121999,0.005062877674342643,0.008002613098154499,0.0006532745386248571
36524,0.03380864765409384,0.01349279362158847,0.012572830420116528,0.0077430236123888375
36727,0.03380864765409384,0.01349279362158847,0.012572830420116528,0.0077430236123888375
36540,0.03380864765409384,0.01349279362158847,0.012572830420116528,0.0077430236123888375
36482,0.03380864765409384,0.01349279362158847,0.012572830420116528,0.0077430236123888375
36268,0.05053750644611052,0.022531635526994328,0.021817604823674085,0.006188266095442104
36255,0.019581363943281565,0.00484930329629857,0.007181879565404211,0.007550181081578786
36258,0.036846033792495084,0.015742688471194952,0.01771052453009432,0.0033928207912058087
36256,0.019581363943281565,0.00484930329629857,0.007181879565404211,0.007550181081578786
35072,0.05053750644611052,0.022531635526994328,0.021817604823674085,0.006188266095442104
36034,0.019532746074301034,0.008330141708157794,0.009766373037150517,0.001436231328992723
36477,0.006392593409015761,0.0020390168632205444,0.0021492339909621955,0.002204342554833021
35646,0.061710677382319175,0.024110218140068886,0.019230769230769232,0.018369690011481057
35672,0.061710677382319175,0.024110218140068886,0.019230769230769232,0.018369690011481057
