ZIP,lahunv1share,lahunv10share,lasnap1share,lasnap10share
1225,0.9318181818181818,,0.9052050125889122,0.9052050125889122
1226,0.775315395259333,,0.7354568402768669,0.7354568402768669
1227,0.775,,0.7349397590361446,0.7349397590361446
1230,1.0438124422274422,0.0,0.9742724589739811,0.9742724589739811
1235,1.0195222002641302,0.3247252093029868,1.020552273255233,1.020552273255233
1236,1.0986108724528343,,1.0252554742151172,1.0252554742151172
1237,1.0434782608695652,,0.9156362685515753,0.9156362685515753
1238,0.4556047680139101,0.6889347680444086,0.6834860885509909,0.6834860885509909
1240,0.10526014527260527,,0.4549259300898898,0.4549259300898898
1245,1.0219646665618096,0.7658644943275835,1.019230263105461,1.019230263105461
1247,0.19177430961019326,0.075,0.2626416568020022,0.2626416568020022
1253,1.0454545454545454,0.7727272727272727,1.0344827586206897,1.0344827586206897
1254,1.0007666936955861,,0.9556113537924257,0.9556113537924257
1255,1.045405096881091,0.7727272727272727,1.0344556476565852,1.0344556476565852
1256,0.9600000000000001,,0.9775280898876404,0.9775280898876404
1257,1.0456101673211542,0.0,1.0312836749414482,1.0312836749414482
1258,1.0,,0.9242424242424243,0.9242424242424243
1259,1.1111111111111112,0.0,1.0344827586206897,1.0344827586206897
1266,1.0987981083518747,,1.0216400734935682,1.0216400734935682
1267,0.60495871094534,,0.719329308423579,0.719329308423579
1270,0.8235453559417079,0.0,0.9324495965607662,0.9324495965607662
1301,0.21733686167511884,,0.3018258195144215,0.3018258195144215
1330,1.1385665663367703,0.004591468009440292,1.0147672710170126,1.0147672710170126
1331,1.0247803272791196,,0.8528238998491486,0.8528238998491486
1337,0.9697395018226516,,0.9569198992175262,0.9569198992175262
1338,0.011494252873563218,,0.4700460829493088,0.4700460829493088
1339,0.8369326853560385,0.075,0.9687221163392975,0.9687221163392975
1340,1.0220630454688953,0.07500000000000001,1.0251183790885585,1.0251183790885585
1341,1.189190751658947,0.0,1.0576428135991827,1.0576428135991827
1342,1.0725806451612903,,1.036036036036036,1.036036036036036
1343,0.977839221892281,0.075,0.9903648870320022,0.9903648870320022
1344,1.042857142857143,,1.0140845070422535,1.0140845070422535
1346,1.075,0.07500000000000001,1.0394088669950738,1.0394088669950738
1349,0.6411800666694406,,0.8599021941149078,0.8599021941149078
1350,1.0750000000000002,0.07500000000000001,1.0394088669950738,1.0394088669950738
1351,0.631226173027771,0.0,0.8553379796649723,0.8553379796649723
1354,0.971830985915493,,0.9580838323353293,0.9580838323353293
1355,0.9222561989224369,0.0,0.9334002469089642,0.9334002469089642
1360,0.5577256454706782,,0.6540412407921902,0.6540412407921902
1364,0.7387271964873028,0.0,0.7569178505218911,0.7569178505218911
1366,1.005952380952381,,0.9323671497584541,0.9323671497584541
1367,1.060905385455449,0.075,1.0338866589196372,1.0338866589196372
1368,0.9305555555555556,,0.9194312796208531,0.9194312796208531
1370,0.10353252870872201,0.0403018199856317,0.5311520127831684,0.5311520127831684
1373,1.0881164853942584,,1.033879484501207,1.033879484501207
1375,1.185966117381048,,1.0131547444326778,1.0131547444326778
1376,0.1581695989041565,,0.22735889598514686,0.22735889598514686
1378,1.042857142857143,,1.0140845070422535,1.0140845070422535
1379,1.042857142857143,,1.0140845070422535,1.0140845070422535
1380,1.042857142857143,,1.0140845070422537,1.0140845070422537
1420,0.36515358217145444,,0.47436074536861583,0.47436074536861583
1430,1.0975609756097562,,0.8508771929824561,0.8508771929824561
1431,0.6567164179104478,,0.9992173162188499,0.9992173162188499
1432,0.7395035315024837,,0.7827828832643113,0.7827828832643113
1434,0.926829268292683,,0.927461139896373,0.927461139896373
1436,0.3582089552238806,,0.5555555555555556,0.5555555555555556
1440,0.10055398530131657,,0.21155615119684623,0.21155615119684623
1450,0.9063776886961445,,0.7820524891823801,0.7820524891823801
1451,0.7079705148093567,,0.7835465944264834,0.7835465944264834
1452,0.9629629629629629,,0.9,0.9
1453,0.16382523145996492,,0.2046753035623031,0.2046753035623031
1460,0.49422115452773274,,0.6422849969331004,0.6422849969331004
1462,0.3846302557728096,,0.5815801428103715,0.5815801428103715
1463,0.396574351503194,,0.5459295804022789,0.5459295804022789
1464,0.9268780052228782,,0.927453867775058,0.927453867775058
1468,0.962962962962963,,0.9,0.9
1469,0.9113270215702557,,0.8489184565231909,0.8489184565231909
1473,0.9665519146042948,,0.9527143046737079,0.9527143046737079
1474,0.9227580511535285,,0.8559228642744982,0.8559228642744982
1501,0.39576336730951794,,0.4276197726076902,0.4276197726076902
1503,0.7438256263202637,,0.7568061282658047,0.7568061282658047
1504,0.29136569595332684,,0.44527345115778266,0.44527345115778266
1505,0.9973516317691468,,0.950533369764045,0.950533369764045
1506,0.92,,0.9367088607594937,0.9367088607594937
1507,0.9521214293812729,,0.9384698035941903,0.9384698035941903
1508,0.9658119658119658,,0.9569377990430622,0.9569377990430622
1509,0.9658119658119657,,0.9569377990430622,0.9569377990430622
1510,0.0328350297009239,,0.049333016593569375,0.049333016593569375
1515,0.8947368421052632,,0.8833333333333333,0.8833333333333333
1516,1.064516129032258,,1.0120481927710845,1.0120481927710845
1518,0.76,,0.7777777777777778,0.7777777777777778
1519,0.5777048510476227,,0.7697334668848428,0.7697334668848428
1520,0.2771291149842796,,0.4602920732326199,0.4602920732326199
1521,0.8709677419354838,,0.9553072625698324,0.9553072625698324
1522,0.4745430693449539,,0.6950470506000649,0.6950470506000649
1523,0.4485495571318347,,0.5403786488938104,0.5403786488938104
1524,0.8390365386710884,,0.8634078719108238,0.8634078719108238
1525,0.6956521739130435,,0.5945945945945946,0.5945945945945946
1527,0.5566164761077375,,0.5744203139225423,0.5744203139225423
1529,0.7336038110843506,,0.7934862046465022,0.7934862046465022
1531,0.9421714078452054,,0.8982071761287829,0.8982071761287829
1532,0.5655561936327121,,0.5463060439907613,0.5463060439907613
1534,0.8908430401877253,,0.8781279105400067,0.8781279105400067
1535,0.22342631568927435,,0.3830857267405188,0.3830857267405188
1536,0.5721343085285577,,0.7034946144317404,0.7034946144317404
1537,0.8095238095238095,,0.7120253164556962,0.7120253164556962
1538,0.16216216216216217,,0.15702479338842978,0.15702479338842978
1540,0.40660506800908286,,0.6811778665392851,0.6811778665392851
1541,1.0925925925925926,,1.0350877192982457,1.0350877192982457
1542,0.8834331461360638,,0.9464035259758916,0.9464035259758916
1543,0.9705882352941176,,0.98,0.98
1545,0.6415253092105944,,0.4988290707871618,0.4988290707871618
1550,0.220188706112482,,0.2931219190446504,0.2931219190446504
1560,1.018074449514392,,1.0058184372092003,1.0058184372092003
1562,0.09365119685605637,,0.12697303283707403,0.12697303283707403
1564,0.9305555555555555,,1.0204081632653061,1.0204081632653061
1566,0.7540651869614637,,0.7714884800302175,0.7714884800302175
1568,1.182028315371958,,1.0376698332099619,1.0376698332099619
1569,0.46101401566683664,,0.4038500173329591,0.4038500173329591
1570,0.5120182701685004,,0.4772195142894432,0.4772195142894432
1571,0.6005896267694474,,0.4409061552115119,0.4409061552115119
1581,0.11755344074261986,,0.26175298545091136,0.26175298545091136
1583,0.5996610300628242,,0.3148799667116337,0.3148799667116337
1585,0.9888601652220684,,1.0047525434266007,1.0047525434266007
1586,,,,
1588,0.7655848647666579,,0.7543122510800184,0.7543122510800184
1590,0.5811443145006074,,0.6290075406364765,0.6290075406364765
1601,,,,
1602,0.5374180771522294,,0.38322490492981287,0.38322490492981287
1603,0.126977361799239,,0.11419364579824087,0.11419364579824087
1604,0.11134048040901598,,0.06547578681802552,0.06547578681802552
1605,0.0950922602178931,,0.10243921683638045,0.10243921683638045
1606,0.2917587758911741,,0.2255982670129965,0.2255982670129965
1607,0.027871822711953806,,0.028508592382573368,0.028508592382573368
1608,,,,
1609,0.47581229463776303,,0.51717862171817,0.51717862171817
1610,0.021268810489864114,,0.024802264169502267,0.024802264169502267
1611,0.8469240291591655,,0.9855790078267154,0.9855790078267154
1612,0.9679310056342407,,0.9779940558943727,0.9779940558943727
1613,,,,
1701,0.24898623786162302,,0.36863831256639146,0.36863831256639146
1702,0.038181169144903486,,0.03408368473158026,0.03408368473158026
1703,0.0,,0.0,0.0
1704,0.024390243902439022,,0.038461538461538464,0.038461538461538464
1719,0.7272727272727273,,0.7352941176470589,0.7352941176470589
1720,0.282622969010534,,0.4580785152984323,0.4580785152984323
1721,0.9657182199455312,,0.8460853334294584,0.8460853334294584
1730,0.15639795409001342,,0.43753364429400565,0.43753364429400565
1731,0.27834876249123586,,0.3747593386194227,0.3747593386194227
1740,0.845966311722946,,0.8330521190125854,0.8330521190125854
1741,0.9318181818181818,,0.9333333333333333,0.9333333333333333
1742,0.1956521739130435,,0.48361126084612843,0.48361126084612843
1745,1.0,,1.0,1.0
1746,0.9349545348443135,,0.8210976916306162,0.8210976916306162
1747,0.5196257535864048,,0.45676402827599827,0.45676402827599827
1748,0.31765222878745347,,0.6746231577300607,0.6746231577300607
1749,0.268940620750488,,0.47551453424216494,0.47551453424216494
1752,0.2353229863735517,,0.18641631432254013,0.18641631432254013
1754,0.7316845960280608,,0.7063669574864864,0.7063669574864864
1756,0.937302601663372,,0.9999982875804683,0.9999982875804683
1757,0.32983733894788686,,0.46797703215348974,0.46797703215348974
1760,0.33770716081545515,,0.3669778131856324,0.3669778131856324
1770,0.8999999999999999,,0.9047619047619048,0.9047619047619048
1772,0.9414435025414103,,0.9875399402101002,0.9875399402101002
1773,0.15153793804289545,,0.2556606695727391,0.2556606695727391
1775,0.8974358974358974,,0.7058823529411765,0.7058823529411765
1776,0.517722040057173,,0.6014580711204557,0.6014580711204557
1778,0.5509320846927652,,0.34638140714908683,0.34638140714908683
1801,0.610797678139621,,0.5073529726189865,0.5073529726189865
1803,0.17167917234681357,,0.3116504091232653,0.3116504091232653
1810,0.10617688876339261,,0.2842701152464379,0.2842701152464379
1821,0.25497483890516637,,0.4676837673136785,0.4676837673136785
1822,0.07317073170731708,,0.23809523809523808,0.23809523809523808
1824,0.5573663433575701,,0.6508406475519946,0.6508406475519946
1826,0.3548513292194676,,0.4018821071839735,0.4018821071839735
1827,0.946769921754801,,0.9069589613411618,0.9069589613411618
1830,0.33515962368104457,,0.4492936314760602,0.4492936314760602
1831,,,,
1832,0.1928156867114332,,0.2595430231433631,0.2595430231433631
1833,0.461108307791241,,0.3425296442075788,0.3425296442075788
1834,0.5927422724940562,,0.6534231130656337,0.6534231130656337
1835,0.43534301995707625,,0.6042033034798993,0.6042033034798993
1840,,,,
1841,0.14485140230582128,,0.14341651625800286,0.14341651625800286
1842,,,,
1843,0.19104335707172532,,0.1814486626304232,0.1814486626304232
1844,0.4670212117529539,,0.27909171673874,0.27909171673874
1845,0.28132326249895095,,0.3527853686094852,0.3527853686094852
1850,0.0058073680444072255,,0.02336516935136371,0.02336516935136371
1851,0.03809523809523809,,0.09696969696969697,0.09696969696969697
1852,0.11978309527471485,,0.14208069965323888,0.14208069965323888
1854,0.5508910242300962,,0.6449739103567108,0.6449739103567108
1860,0.9353528831113265,,0.8682703593184538,0.8682703593184538
1862,0.4266802676950629,,0.45116573468479715,0.45116573468479715
1863,0.46589441660282194,,0.7607644406692166,0.7607644406692166
1864,0.7272727272727273,,0.7368421052631579,0.7368421052631579
1865,0.16740088105726872,,0.39673913043478265,0.39673913043478265
1867,0.28705217059624916,,0.37572129763015927,0.37572129763015927
1876,0.6432661036542265,,0.5827754315542532,0.5827754315542532
1879,0.8754745140484567,,0.906945322035533,0.906945322035533
1880,0.14712504567945678,,0.14048428263715007,0.14048428263715007
1886,0.40526894413623243,,0.6331462311477263,0.6331462311477263
1887,0.3966240050583533,,0.4723201418649846,0.4723201418649846
1890,0.07022152667236822,,0.17588384733222584,0.17588384733222584
1901,,,,
1902,0.018998272884283247,,0.02600472813238771,0.02600472813238771
1903,,,,
1904,0.30995822204731754,,0.4086118735411937,0.4086118735411937
1905,0.5414369324663981,,0.6238304943627909,0.6238304943627909
1906,0.343345249522617,,0.5982919977305514,0.5982919977305514
1907,0.17490626554244765,,0.21522795406645506,0.21522795406645506
