COUNTY,single_parent_household,youth_not_in_school,sex_pay_inequity,race_pay_inequity,snap_household,snap_vulnerabe_household,no_internet_household,no_smartphone_household,no_car_household,no_plumbing_household,over_60min_commute,wfh_inv,biking_commute_inv,working_class_workers,unemployment_rate,renter_occupied,median_income_inv,Crimes Against Persons Rate,Crimes Against Property Rate,Crimes Against Society Rate,ALR_VALB,ALR_VALP,lahunv1share,lasnap1share
32003,0.733064014916097,0.5958967982592478,0.5565217391304348,0.47835689045936397,0.5822981366459627,0.603416149068323,0.12763975155279503,0.10403726708074534,0.7760869565217391,0.11925465838509317,0.20217391304347826,0.2654647186820019,0.5398428731762065,0.5562111801242235,0.8822981366459627,0.9518633540372671,0.06905132192846034,0.11433628318584071,0.19575221238938054,0.09699115044247787,0.33416381189660543,0.5845530987231392,0.11278436398590196,0.07113104774110862
32005,0.2507768800497203,0.4072116879079888,0.6152173913043478,NaN,0.10124223602484472,0.1565217391304348,0.08726708074534162,0.21832298136645964,0.08012422360248447,0.4388198757763975,0.574223602484472,0.19707802300279764,0.15712682379349047,0.2785714285714286,0.21894409937888198,0.25869565217391305,0.0223950233281493,0.6134513274336283,0.33699115044247785,0.5437168141592921,0.9015882902522578,0.8517595764559327,0.48221723806472283,0.3864146107016982
32007,0.4139216904909882,0.39073671122163506,0.9046583850931676,NaN,0.28074534161490683,0.24720496894409938,0.281055900621118,0.2031055900621118,0.6462732919254658,0.49161490683229814,0.9512422360248447,0.7084239975132111,0.7457912457912458,0.6816770186335404,0.4453416149068323,0.6850931677018633,0.17542768273716952,0.6116814159292036,0.464070796460177,0.44495575221238937,0.9638741824976643,0.15073185923388352,0.5626401794296699,0.3175264338353092
32009,0.0,0.9996891513832763,0.02142857142857143,NaN,0.9745341614906833,0.9782608695652174,0.22732919254658385,0.415527950310559,0.9950310559006211,0.0,0.5962732919254659,0.12371774945601492,1.0,0.11645962732919254,0.15590062111801242,0.9872670807453416,0.9001555209953344,NaN,NaN,NaN,0.5764559327312364,0.4808470881345375,0.912848446010894,0.900032041012496
32011,0.044748290863890615,0.9835250233136462,0.9928571428571429,NaN,0.02515527950310559,0.018633540372670808,0.3279503105590062,0.020186335403726708,0.8360248447204969,0.9866459627329193,0.055279503105590065,0.5383898041653714,1.0,0.893167701863354,0.0,0.02888198757763975,1.0,0.783362831858407,0.7348672566371681,0.768141592920354,0.9265026471504204,0.36873248209280596,0.8522909323934637,0.7776353732777955
32013,0.18551895587321318,0.6804476220080821,0.9391304347826087,NaN,0.39596273291925466,0.4232919254658385,0.32298136645962733,0.3686335403726708,0.17391304347826086,0.3919254658385093,0.9484472049689441,0.5906123717749456,1.0,0.5633540372670808,0.6627329192546584,0.5335403726708075,0.22581648522550543,0.7674336283185841,0.6350442477876106,0.6070796460176991,0.9115540330115229,0.03706010588601682,0.0032041012495994873,0.09516180711310478
32015,0.7249844623990056,0.6201429903636929,0.9804347826086957,NaN,0.4922360248447205,0.7487577639751553,0.02857142857142857,0.11304347826086956,0.0577639751552795,0.0,0.8950310559006212,0.9978240596829344,1.0,0.529192546583851,0.9419254658385093,0.7996894409937888,0.35023328149300154,0.768141592920354,0.6984070796460177,0.5766371681415929,0.8617253192151978,0.31890376829648087,NaN,NaN
32017,0.6302050963331262,0.0,0.8434782608695652,0.558303886925795,0.2580745341614907,0.21149068322981365,0.6468944099378882,0.5593167701863354,0.13043478260869565,0.9475155279503106,0.8472049689440994,0.17376437674852346,1.0,0.4704968944099379,0.05962732919254658,0.5301242236024845,0.3536547433903577,NaN,NaN,NaN,0.9037682964808471,0.5306758019308626,0.9407241268824095,0.6984940724126882
32019,0.5543816034804226,0.8613615169412496,0.7260869565217392,0.9593639575971732,0.4409937888198758,0.4754658385093168,0.1496894409937888,0.2111801242236025,0.06521739130434782,0.42049689440993787,0.7863354037267081,0.5383898041653714,0.4107744107744108,0.8375776397515527,0.7922360248447204,0.3695652173913043,0.10948678071539658,0.6729203539823009,0.4056637168141593,0.5964601769911504,0.8551853005294301,0.45375272500778574,0.3979493752002563,0.40083306632489585
32021,0.978247358607831,0.990985390115014,0.02236024844720497,NaN,0.781055900621118,0.6571428571428571,0.6149068322981367,0.7273291925465839,0.02111801242236025,0.0,0.4108695652173913,0.8943114703139571,1.0,0.8919254658385093,0.6263975155279503,0.5139751552795031,0.48615863141524107,0.5865486725663717,0.20672566371681417,0.43575221238938056,0.7922765493615697,0.9483027094363127,0.9983979493752002,0.9900672861262416
32023,0.7293349906774395,0.943114703139571,0.9462732919254658,0.21333922261484098,0.7,0.7726708074534161,0.6394409937888199,0.5509316770186335,0.45590062111801244,0.5040372670807454,0.968944099378882,0.31582219459123406,1.0,0.9118012422360249,0.9484472049689441,0.44875776397515527,0.21026438569206843,0.6846017699115045,0.5787610619469027,0.5915044247787611,0.3182809093740268,0.9345998131423232,0.9730855495033643,0.8776033322652996
32027,0.22063393412057178,0.35312402859807274,0.974223602484472,0.9399293286219081,0.1577639751552795,0.1015527950310559,0.3003105590062112,0.4658385093167702,0.26335403726708073,0.90527950310559,0.9251552795031056,0.5906123717749456,0.5398428731762065,0.9419254658385093,0.7559006211180124,0.49875776397515525,0.5297045101088647,0.8902654867256637,0.815929203539823,0.7734513274336283,0.5042042977265649,0.03737153534724385,0.010573534123678308,0.21147068247356615
32029,0.4499689247980112,0.0,0.9369565217391305,NaN,0.0422360248447205,0.07142857142857142,0.044099378881987575,0.0891304347826087,0.006521739130434782,0.0,0.8925465838509317,0.15355921666148586,1.0,0.1608695652173913,0.8403726708074534,0.0,0.0734059097978227,0.9992920353982301,0.9992920353982301,0.9985840707964602,0.9218312052320149,0.9788227966365618,0.7609740467798782,0.925024030759372
32031,0.6121814791796146,0.7037612682623562,0.6574534161490683,0.5675795053003534,0.4301242236024845,0.42080745341614906,0.13198757763975155,0.11024844720496894,0.6605590062111801,0.1953416149068323,0.1919254658385093,0.23344731115946535,0.29854096520763185,0.3031055900621118,0.5897515527950311,0.9338509316770186,0.03297045101088647,0.6998230088495575,0.7543362831858407,0.48460176991150444,0.9149797570850202,0.6913734039240113,0.18519705222685037,0.31143864146107014
32033,0.7806090739589807,0.33820329499533724,0.07018633540372671,NaN,0.3987577639751553,0.3136645962732919,0.5795031055900621,0.781055900621118,0.013975155279503106,0.8704968944099379,0.2608695652173913,0.37985700963630714,1.0,0.9090062111801243,0.5717391304347826,0.3173913043478261,0.3962674961119751,0.6279646017699115,0.3104424778761062,0.6729203539823009,0.1719090625973217,0.21706633447524135,0.15668055110541493,0.474847805190644
32510,0.7942821628340584,0.3068075847062481,0.6515527950310559,0.2703180212014134,0.3922360248447205,0.3903726708074534,0.1546583850931677,0.3546583850931677,0.6177018633540373,0.31894409937888196,0.5139751552795031,0.4283493938451974,0.5398428731762065,0.5838509316770186,0.4012422360248447,0.8816770186335404,0.05567651632970451,NaN,NaN,NaN,0.9174711927748365,0.9648084708813454,0.05254726049343159,0.07850048061518744
33001,0.5090118085767558,0.21790488032328256,0.14285714285714285,0.09231448763250884,0.14316770186335404,0.21211180124223603,0.17484472049689442,0.36645962732919257,0.3139751552795031,0.5431677018633541,0.6472049689440994,0.21386384830587504,0.5398428731762065,0.20993788819875778,0.12422360248447205,0.24285714285714285,0.11104199066874028,0.6212389380530974,0.6389380530973451,0.4704424778761062,0.3020865773902211,0.08626596075988789,0.24447292534444087,0.412367830823454
33003,0.5593536357986327,0.16847995026422133,0.4139751552795031,0.22747349823321555,0.06304347826086956,0.058074534161490686,0.11770186335403726,0.31149068322981366,0.06832298136645963,0.5711180124223603,0.7437888198757764,0.0923220391669257,1.0,0.1934782608695652,0.6459627329192547,0.13074534161490683,0.10544323483670295,0.2658407079646018,0.1830088495575221,0.19504424778761062,0.4484584241669262,0.11304889442541265,0.9823774431272028,0.9589875040051266
33005,0.30205096333126163,0.2679515076157911,0.20093167701863354,0.11307420494699646,0.14037267080745341,0.10341614906832299,0.17080745341614906,0.45217391304347826,0.3372670807453416,0.2891304347826087,0.5139751552795031,0.22691949020826857,0.2356902356902357,0.23695652173913043,0.2341614906832298,0.6894409937888198,0.2255054432348367,0.2375221238938053,0.36566371681415927,0.3568141592920354,0.40361258175023357,0.2204920585487387,0.49150913168856136,0.662287728292214
33007,0.4850839030453698,0.4737332918868511,0.47329192546583854,0.9651060070671378,0.5807453416149069,0.5468944099378882,0.3515527950310559,0.6409937888198758,0.8313664596273292,0.5139751552795031,0.5366459627329192,0.45788001243394466,1.0,0.7537267080745341,0.4012422360248447,0.5139751552795031,0.5132192846034215,0.0584070796460177,0.07858407079646018,0.10336283185840708,0.2952351292432264,0.4232326378075366,0.5289971163088754,0.4629926305671259
33009,0.4089496581727781,0.5163195523779919,0.16614906832298137,0.5715547703180212,0.18478260869565216,0.21770186335403727,0.24596273291925466,0.5273291925465838,0.6925465838509317,0.4860248447204969,0.47080745341614905,0.0923220391669257,0.2356902356902357,0.061180124223602486,0.1686335403726708,0.6583850931677019,0.152099533437014,0.24106194690265487,0.3065486725663717,0.19964601769911505,0.34226097788850823,0.19059483027094362,0.9195770586350529,0.8590195450176226
33011,0.3060907395898073,0.5244016164128069,0.46770186335403724,0.3454063604240283,0.14565217391304347,0.1453416149068323,0.08540372670807453,0.1484472049689441,0.43074534161490685,0.16770186335403728,0.6968944099378882,0.07087348461299348,0.5398428731762065,0.07950310559006211,0.2341614906832298,0.784472049689441,0.07838258164852255,0.4906194690265487,0.47079646017699117,0.39079646017699116,0.36779819370912487,0.07848022422921208,0.19384812560076897,0.1932073053508491
